"game_id","refNum","total_cards","any_cards_light","any_cards_verylight","any_cards_dark","any_cards_verydark","proportion_cards_light","proportion_cards_verylight","proportion_cards_dark","proportion_cards_verydark"
1145,2560,0,0,0,0,0,0,0,0,0
1146,1927,4,1,1,0,2,0.25,0.25,0,0.5
1147,628,4,1,3,0,0,0.25,0.75,0,0
1148,2340,0,0,0,0,0,0,0,0,0
1149,2809,3,1,2,0,0,0.333333333333333,0.666666666666667,0,0
1150,194,4,2,2,0,0,0.5,0.5,0,0
1151,2154,2,2,0,0,0,1,0,0,0
1152,2867,3,0,2,0,1,0,0.666666666666667,0,0.333333333333333
1153,2644,3,0,3,0,0,0,1,0,0
1154,2302,2,0,2,0,0,0,1,0,0
1155,787,1,1,0,0,0,1,0,0,0
1156,1374,1,1,0,0,0,1,0,0,0
1157,756,4,1,3,0,0,0.25,0.75,0,0
1158,702,2,2,0,0,0,1,0,0,0
1159,2529,3,1,1,0,1,0.333333333333333,0.333333333333333,0,0.333333333333333
1160,1349,10,4,6,0,0,0.4,0.6,0,0
1161,1331,0,0,0,0,0,0,0,0,0
1162,992,5,1,1,3,0,0.2,0.2,0.6,0
1163,2323,2,0,2,0,0,0,1,0,0
1164,2625,1,0,0,1,0,0,0,1,0
1165,2290,2,1,1,0,0,0.5,0.5,0,0
1166,1477,5,2,3,0,0,0.4,0.6,0,0
1167,1459,1,1,0,0,0,1,0,0,0
1168,735,1,0,0,0,1,0,0,0,1
1169,1929,3,1,0,0,2,0.333333333333333,0,0,0.666666666666667
1170,180,1,0,1,0,0,0,1,0,0
1171,485,3,0,3,0,0,0,1,0,0
1172,442,4,2,2,0,0,0.5,0.5,0,0
1173,2046,3,1,1,0,1,0.333333333333333,0.333333333333333,0,0.333333333333333
1174,2881,1,0,1,0,0,0,1,0,0
1175,2619,7,3,3,1,0,0.428571428571429,0.428571428571429,0.142857142857143,0
1176,3088,1,0,1,0,0,0,1,0,0
1177,535,2,1,1,0,0,0.5,0.5,0,0
1178,2888,1,1,0,0,0,1,0,0,0
1179,139,5,2,1,2,0,0.4,0.2,0.4,0
1180,859,1,0,1,0,0,0,1,0,0
1181,1927,3,0,1,2,0,0,0.333333333333333,0.666666666666667,0
1182,334,3,0,3,0,0,0,1,0,0
1183,2671,1,0,1,0,0,0,1,0,0
1184,623,3,3,0,0,0,1,0,0,0
1185,355,3,1,2,0,0,0.333333333333333,0.666666666666667,0,0
1186,399,0,0,0,0,0,0,0,0,0
1187,1182,4,1,1,0,2,0.25,0.25,0,0.5
1188,2530,0,0,0,0,0,0,0,0,0
1189,2794,3,0,3,0,0,0,1,0,0
1190,2654,1,1,0,0,0,1,0,0,0
1191,628,1,0,1,0,0,0,1,0,0
1192,1228,0,0,0,0,0,0,0,0,0
1193,1405,1,0,0,0,1,0,0,0,1
1194,2974,3,1,2,0,0,0.333333333333333,0.666666666666667,0,0
1195,1232,4,1,0,3,0,0.25,0,0.75,0
1196,112,0,0,0,0,0,0,0,0,0
1197,409,3,2,1,0,0,0.666666666666667,0.333333333333333,0,0
1198,1154,0,0,0,0,0,0,0,0,0
1199,749,1,0,1,0,0,0,1,0,0
1200,68,1,0,1,0,0,0,1,0,0
1201,2987,2,0,2,0,0,0,1,0,0
1202,259,1,1,0,0,0,1,0,0,0
1203,3026,4,2,2,0,0,0.5,0.5,0,0
1204,787,2,1,1,0,0,0.5,0.5,0,0
1205,2881,2,0,2,0,0,0,1,0,0
1206,264,0,0,0,0,0,0,0,0,0
1207,2286,2,1,1,0,0,0.5,0.5,0,0
1208,1409,3,1,1,0,1,0.333333333333333,0.333333333333333,0,0.333333333333333
1209,1235,0,0,0,0,0,0,0,0,0
1210,1214,7,2,5,0,0,0.285714285714286,0.714285714285714,0,0
1211,130,1,0,1,0,0,0,1,0,0
1212,2792,4,1,1,1,1,0.25,0.25,0.25,0.25
1213,662,3,2,1,0,0,0.666666666666667,0.333333333333333,0,0
1214,2763,1,1,0,0,0,1,0,0,0
1215,2681,2,2,0,0,0,1,0,0,0
1216,545,1,0,1,0,0,0,1,0,0
1217,1729,6,4,2,0,0,0.666666666666667,0.333333333333333,0,0
1218,69,2,2,0,0,0,1,0,0,0
1219,2553,2,1,0,1,0,0.5,0,0.5,0
1220,662,2,1,1,0,0,0.5,0.5,0,0
1221,252,1,0,1,0,0,0,1,0,0
1222,2169,4,1,2,1,0,0.25,0.5,0.25,0
1223,2644,2,1,1,0,0,0.5,0.5,0,0
1224,2387,2,0,2,0,0,0,1,0,0
1225,2080,5,2,2,1,0,0.4,0.4,0.2,0
1226,1627,5,3,2,0,0,0.6,0.4,0,0
